,coefficient,gene
557,-0.0,ARHGAP6
558,-0.0,FAM184B
559,-0.0,MAP4
560,0.0,GOPC
561,-0.0,USP28
562,-0.0,HDAC9
563,-0.0,TSPAN17
564,-0.0,NOP16
565,0.0,CC2D2A
566,0.0,RRM2B
567,-0.0,ZNF800
568,-0.0,TNFRSF17
569,0.0,SNX29
570,-0.0,MRPS10
571,-0.0,RSF1
572,-0.0,VPS13D
573,0.0,CELF2
574,0.0,FAM120A
575,-0.0,R3HDM1
576,-0.0,COL9A2
577,0.0,KITLG
578,-0.0,ERCC8
579,-0.0,ADAMTS6
580,0.0,H6PD
581,0.0,VAMP3
582,0.0,PER3
583,-0.0,UTS2
584,0.0,TNFRSF9
585,-0.0,EPN3
586,-0.0,LTBP1
587,0.0,RCN1
588,0.0,ELN
589,0.0,RFC2
590,0.0,ARID1B
591,0.0,CLPTM1L
592,-0.0,NEDD4L
593,-0.0,FOXP3
594,-0.0,PPP1R3F
595,0.0,HEXB
596,-0.0,PTCD2
597,-0.0,KIAA2022
598,0.0,JKAMP
599,-0.0,DKK3
600,0.0,ARHGEF5
601,0.0,NFE2L3
602,0.0,MCUR1
603,-0.0,LIMA1
604,-0.0,LETMD1
605,-0.0,SLC4A8
606,0.0,LAMC3
607,0.0,PTGER3
608,-0.0,TNIP3
609,0.0,MAPK9
610,0.0,COL23A1
611,0.0,BCAR1
612,0.0,FAM160A2
613,0.0,HERPUD1
614,0.0,HOMER3
615,-0.0,RAD51
616,0.0,POLQ
617,0.0,PIK3CB
618,0.0,CYBA
619,-0.0,THOC3
620,-0.0,HEBP2
621,-0.0,MPHOSPH9
622,-0.0,PLEKHA5
623,0.0,PRSS8
624,0.0,SIKE1
625,0.0,RRP12
626,0.0,FNIP2
627,-0.0,MSMO1
628,0.0,TTC17
629,-0.0,FSTL4
630,0.0,FOXN3
631,0.0,METTL24
632,-0.0,AKR7A2
633,-0.0,MRTO4
634,0.0,NNAT
635,-0.0,USE1
636,-0.0,MCF2L2
637,-0.0,LAMA3
638,-0.0,AP5M1
639,-0.0,ANAPC4
640,0.0,KCNQ1
641,-0.0,TRAPPC3
642,0.0,THRAP3
643,-0.0,PHPT1
644,-0.0,ENTPD2
645,-0.0,LY75
646,0.0,ARID4B
647,0.0,OPN3
648,-0.0,SDCCAG8
649,0.0,PTPRN
650,0.0,HHAT
651,0.0,KIF1B
652,0.0,FOXC1
653,0.0,TBC1D22A
654,-0.0,SYNE2
655,0.0,PLEKHH1
656,0.0,ATP9A
657,0.0,FAM168A
658,-0.0,RELT
659,0.0,GALC
660,-0.0,NOP58
661,-0.0,SZRD1
662,-0.0,KCNH2
663,-0.0,CUL1
664,0.0,FAM114A2
665,0.0,CYFIP2
666,-0.0,TAB2
667,0.0,GINM1
668,-0.0,EIF2AK2
669,-0.0,USP36
670,-0.0,KMT2C
671,-0.0,MCOLN3
672,0.0,PUM2
673,-0.0,MRPL43
674,-0.0,ITIH4
675,-0.0,ITIH1
676,-0.0,C4orf27
677,0.0,ZFR
678,0.0,ZNF280C
679,0.0,TRAF1
680,0.0,RC3H2
681,0.0,PCGF2
682,0.0,IL17RB
683,0.0,TRAF3IP2
684,0.0,GYG2
685,0.0,DCBLD2
686,0.0,SOAT1
687,0.0,PKP2
688,0.0,MSH4
689,0.0,F7
690,-0.0,GDI2
691,0.0,PRDM1
692,0.0,ATG5
693,0.0,TMCC3
694,-0.0,PITHD1
695,0.0,MTA3
696,-0.0,USP13
697,0.0,ATP11B
698,-0.0,LAMC2
699,0.0,CDK14
700,0.0,SEC61A1
701,0.0,PPP1R12A
702,-0.0,RASGRF1
703,-0.0,CAMK2B
704,-0.0,CROCC
705,-0.0,POLR3E
706,0.0,ATP2B4
707,-0.0,ZC3H11A
708,-0.0,RIOK2
709,0.0,YIPF1
710,0.0,NDC1
711,0.0,DGKG
712,-0.0,FLYWCH1
713,0.0,UNKL
714,-0.0,TBXAS1
715,0.0,PARP12
716,-0.0,ALDH18A1
717,-0.0,TARBP1
718,-0.0,PET112
719,0.0,MXD1
720,-0.0,CDK17
721,0.0,DNAJC25
722,0.0,SLC2A3
723,0.0,PSD
724,0.0,CTDP1
725,-0.0,YBX3
726,-0.0,STYK1
727,0.0,WNK1
728,0.0,CCAR1
729,0.0,OGFR
730,-0.0,GNA15
731,0.0,CREB3L3
732,-0.0,PIGV
733,0.0,PTPRU
734,-0.0,SNRNP40
735,0.0,RIMBP2
736,0.0,QSER1
737,0.0,MPC1
738,-0.0,ACAA1
739,0.0,BCAT1
740,0.0,HDAC7
741,0.0,LZTS1
742,-0.0,SPAG4
743,-0.0,NCKAP1
744,-0.0,MRPS35
745,0.0,GUCY1B3
746,-0.0,SFSWAP
747,-0.0,TNK2
748,-0.0,MON2
749,0.0,CDH3
750,-0.0,GPBP1
751,0.0,DGAT2
752,-0.0,ZNF112
753,-0.0,CS
754,0.0,LTK
755,-0.0,MRPS24
756,0.0,ELMO2
757,0.0,WAPAL
758,0.0,VMP1
759,-0.0,APPBP2
760,-0.0,POLD1
761,-0.0,SEZ6
762,-0.0,EIF4B
763,0.0,SLC6A16
764,-0.0,GLTSCR1
765,0.0,SPHK2
766,-0.0,RPL18
767,-0.0,CA11
768,0.0,ISOC2
769,-0.0,U2AF2
770,0.0,EPN1
771,0.0,MED29
772,-0.0,AHRR
773,0.0,ZNF275
774,0.0,MTMR1
775,-0.0,GPC1
776,-0.0,ADCK1
777,0.0,HAGH
778,-0.0,RNF4
779,-0.0,CASP8
780,0.0,LIMCH1
781,0.0,ASUN
782,-0.0,TM7SF3
783,-0.0,SPA17
784,-0.0,TSPAN32
785,-0.0,ST3GAL6
786,0.0,ATP2C2
787,-0.0,NGFR
788,-0.0,CDON
789,0.0,TAF2
790,0.0,HIPK2
791,0.0,TNPO3
792,-0.0,RFXANK
793,-0.0,TMEM161A
794,-0.0,LPAR2
795,0.0,CTSA
796,-0.0,SUGP2
797,0.0,SLC12A2
798,-0.0,SNX24
799,-0.0,CNN2
800,-0.0,ABCA7
801,0.0,SNCAIP
802,-0.0,DDX20
803,-0.0,BTBD1
804,0.0,FAR2
805,-0.0,BCAS1
806,-0.0,CHI3L2
807,-0.0,SBNO2
808,-0.0,PMS1
809,-0.0,HMG20B
810,0.0,CALCRL
811,-0.0,TAF11
812,0.0,ANKS1A
813,0.0,AP3D1
814,-0.0,ZNF76
815,0.0,SLC9A3R2
816,0.0,NTHL1
817,-0.0,UHRF1BP1
818,0.0,GNAI3
819,-0.0,IPO5
820,0.0,OAT
821,0.0,WDR3
822,-0.0,PKN2
823,-0.0,WDR18
824,-0.0,TRAM2
825,0.0,NTN1
826,0.0,MCM10
827,0.0,DGKA
828,-0.0,ERBB3
829,0.0,ANKRD44
830,-0.0,KARS
831,0.0,ADAT1
832,-0.0,PDIA5
833,0.0,TBC1D22B
834,-0.0,NDUFB4
835,-0.0,SPEN
836,-0.0,MYLK
837,-0.0,ZC3H15
838,0.0,MAP2K4
839,-0.0,TMEM206
840,0.0,SLK
841,-0.0,CYB5R4
842,-0.0,COL17A1
843,0.0,GSTO2
844,-0.0,SEC61A2
845,-0.0,PRKCQ
846,-0.0,TLE2
847,-0.0,ASB1
848,0.0,FAM107B
849,-0.0,ME1
850,0.0,TBC1D1
851,-0.0,CDK13
852,-0.0,MTHFD2
853,0.0,SLC9A7
854,-0.0,FOXJ2
855,0.0,YBX1
856,-0.0,PDE4A
857,-0.0,PPP2R5A
858,0.0,ELAVL1
859,0.0,TIE1
860,0.0,DIP2B
861,-0.0,SMARCD1
862,0.0,KDM4A
863,0.0,NFYC
864,-0.0,ZMYND12
865,-0.0,SLC9A3
866,-0.0,NGEF
867,0.0,ASPM
868,-0.0,CD84
869,0.0,ELOVL1
870,0.0,SPI1
871,-0.0,ZNRD1
872,-0.0,MPPED2
873,-0.0,ZBTB11
874,-0.0,ATXN3
875,0.0,GOLGA5
876,0.0,FGFR2
877,-0.0,LRRC40
878,0.0,ISOC1
879,0.0,TRMT11
880,0.0,THUMPD1
881,0.0,MSANTD3
882,0.0,KIF26A
883,-0.0,ATG2B
884,0.0,ARFGEF1
885,-0.0,ZFAT
886,0.0,MTFR1
887,0.0,STAG3
888,0.0,FECH
889,-0.0,MYO9A
890,-0.0,DDX3Y
891,0.0,PFKP
892,-0.0,IDI1
893,-0.0,SP100
894,-0.0,KLF6
895,0.0,PPAP2A
896,0.0,NEO1
897,0.0,TRAM1
898,-0.0,PHKA1
899,0.0,TNFRSF1A
900,-0.0,CACNB1
901,0.0,EVI5
902,0.0,STOML1
903,0.0,PKM
904,-0.0,DHX29
905,0.0,DNTTIP2
906,-0.0,METTL22
907,-0.0,TP53BP1
908,0.0,TRO
909,-0.0,RRP15
910,0.0,RHOA
911,0.0,DHX8
912,-0.0,PMS2P4
913,-0.0,PRKCZ
914,-0.0,ZFY
915,0.0,IARS2
916,-0.0,SYT1
917,-0.0,NAV3
918,-0.0,IDH3G
919,0.0,ROGDI
920,0.0,PDZD4
921,0.0,ROCK1
922,0.0,CBFB
923,0.0,PDK3
924,0.0,HYAL2
925,0.0,HDAC4
926,-0.0,RASSF1
927,-0.0,FGFR3
928,0.0,IFI35
929,0.0,HEATR6
930,-0.0,COASY
931,0.0,PLEKHH3
932,0.0,MEF2A
933,0.0,OTUD5
934,0.0,TFE3
935,-0.0,TBC1D25
936,0.0,ACSL4
937,0.0,INPP5A
938,0.0,GPKOW
939,0.0,GRIPAP1
940,-0.0,FTSJ1
941,-0.0,PRR11
942,-0.0,REEP1
943,0.0,ATP11A
944,-0.0,POLR1A
945,0.0,LAPTM4A
946,0.0,TTC7A
947,-0.0,IP6K2
948,-0.0,SRBD1
949,-0.0,CYFIP1
950,0.0,KIF2A
951,0.0,RASGRP2
952,-0.0,PSME4
953,-0.0,IFT80
954,0.0,SIRT2
955,-0.0,ERLEC1
956,0.0,PPP2R5B
957,0.0,PYGM
958,0.0,PITX1
959,-0.0,MAST4
960,0.0,GPR116
961,-0.0,SDK2
962,0.0,NUP133
963,-0.0,NUCKS1
964,0.0,VPS35
965,-0.0,DNAJA2
966,0.0,BCL3
967,-0.0,KCNAB2
968,0.0,GAL
969,0.0,CLEC2D
970,-0.0,FUNDC1
971,0.0,MAOB
972,-0.0,RORA
973,0.0,DRD4
974,0.0,TGFBR3
975,0.0,KIAA1107
976,0.0,HES2
977,0.0,ATP1B3
978,0.0,NEDD4
979,-0.0,PIGB
980,-0.0,MAPK6
981,-0.0,GNB5
982,0.0,RAB27A
983,0.0,CECR5
984,-0.0,UFD1L
985,-0.0,LRP6
986,-0.0,SCT
987,0.0,PHRF1
988,-0.0,IKBKAP
989,-0.0,NUCB2
990,-0.0,PFN2
991,-0.0,PTPN3
992,0.0,SPTB
993,0.0,DAPP1
994,0.0,FGF10
995,0.0,SLC44A1
996,0.0,TMEM260
997,-0.0,SMG6
998,0.0,EXOC5
999,-0.0,CLTCL1
1000,0.0,FSTL3
1001,0.0,DGCR2
1002,-0.0,RNF126
1003,-0.0,MNT
1004,0.0,ZXDC
1005,0.0,JMJD6
1006,-0.0,POLB
1007,-0.0,ST6GALNAC1
1008,0.0,WIPI1
1009,0.0,GBA2
1010,0.0,NDST1
1011,-0.0,ASNS
1012,-0.0,AP3M2
1013,0.0,ST6GALNAC2
1014,-0.0,PABPC1
1015,0.0,TESK2
1016,0.0,C16orf80
1017,-0.0,CSNK2A2
1018,-0.0,PTPN21
1019,-0.0,EIF2B3
1020,-0.0,CAMK2A
1021,-0.0,TCOF1
1022,0.0,CDC42
1023,0.0,OSBPL3
1024,0.0,SLC12A3
1025,-0.0,RAD18
1026,0.0,ATP2B1
1027,-0.0,TRPM5
1028,0.0,NCK2
1029,-0.0,MAP4K4
1030,0.0,MGAT4A
1031,-0.0,RPL31
1032,0.0,WDR1
1033,0.0,SNX13
1034,0.0,ARHGAP10
1035,0.0,RPS6KA2
1036,-0.0,ING3
1037,0.0,VASH1
1038,-0.0,LMCD1
1039,-0.0,WBSCR22
1040,0.0,SEL1L
1041,-0.0,TRIP13
1042,0.0,ATP6AP1
1043,-0.0,TCF3
1044,-0.0,TRIB2
1045,-0.0,DAZAP1
1046,-0.0,MBD3
1047,0.0,HLTF
1048,0.0,FAM50A
1049,0.0,FAM3A
1050,-0.0,CPSF1
1051,-0.0,MYO3B
1052,0.0,CYBRD1
1053,-0.0,PDCD2
1054,0.0,RDH11
1055,-0.0,PRKACA
1056,-0.0,LPHN1
1057,-0.0,ACTN1
1058,0.0,ZFYVE26
1059,0.0,RPS6KA6
1060,0.0,EPN2
1061,0.0,PTPN18
1062,0.0,LIMS2
1063,-0.0,ASIC4
1064,-0.0,SPEG
1065,-0.0,LNX1
1066,0.0,ALDH3A2
1067,-0.0,TFRC
1068,0.0,SREBF1
1069,-0.0,AFF4
1070,0.0,UBE2D1
1071,0.0,MPP5
1072,-0.0,RHOBTB1
1073,-0.0,SMC1A
1074,-0.0,HSD17B10
1075,0.0,MARK2
1076,0.0,HMMR
1077,-0.0,CHFR
1078,0.0,TRHDE
1079,0.0,P4HA2
1080,-0.0,FCGR2B
1081,-0.0,NFATC3
1082,0.0,TRNT1
1083,0.0,ACADVL
1084,-0.0,STK10
1085,0.0,FBXW11
1086,-0.0,ACAP1
1087,0.0,EVC
1088,0.0,DERL2
1089,-0.0,SIDT1
1090,-0.0,NDE1
1091,-0.0,MRVI1
1092,0.0,TMEM38A
1093,0.0,AP1M1
1094,0.0,PVR
1095,0.0,IKBKG
1096,-0.0,XRCC1
1097,-0.0,SCARB1
1098,-0.0,MCM2
1099,-0.0,MOV10L1
1100,-0.0,PANX2
1101,-0.0,SELO
1102,-0.0,TP63
1103,0.0,ALPK1
1104,-0.0,LLGL2
1105,-0.0,PDE8A
1106,-0.0,CLCN4
1107,-0.0,NLE1
1108,0.0,SDHA
1109,-0.0,SMARCE1
1110,-0.0,GSDMB
1111,-0.0,KDM5A
1112,0.0,ADAM11
1113,0.0,PPP2R3A
1114,0.0,FERMT2
1115,0.0,ABCB11
